pruid,prname,prnameFR,date,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
1,Canada,Canada,2020-03-07,57,0,0.0,57,,,,,6,11.76,0.15,0.0,0.0,0.0,,,100.0,57.0,0.15,,,,,,,,,,,,
35,Ontario,Ontario,2020-03-08,31,0,0.0,31,,,,,3,10.71,0.21,0.0,0.0,0.0,,,100.0,31.0,0.21,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-03-08,27,0,1.0,27,,,,,0,0.0,0.53,0.02,1.0,3.7,,,96.3,26.0,0.51,,,,,,,,,,,,
24,Quebec,Québec,2020-03-08,3,0,0.0,3,,,,,1,50.0,0.04,0.0,0.0,0.0,,,100.0,3.0,0.04,,,,,,,,,,,,
48,Alberta,Alberta,2020-03-08,1,0,0.0,1,,,,,1,100.0,0.02,0.0,0.0,0.0,,,100.0,1.0,0.02,,,,,,,,,,,,
1,Canada,Canada,2020-03-08,62,0,1.0,62,,,,,5,8.77,0.16,0.0,1.0,1.61,,,98.39,61.0,0.16,,,,,,,,,,,,
35,Ontario,Ontario,2020-03-09,34,0,0.0,34,,,,,3,9.68,0.23,0.0,0.0,0.0,,,100.0,34.0,0.23,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-03-09,32,0,1.0,32,,,,,5,18.52,0.63,0.02,0.0,3.13,,,96.88,31.0,0.61,,,,,,,,,,,,
24,Quebec,Québec,2020-03-09,4,0,0.0,4,,,,,1,33.33,0.05,0.0,0.0,0.0,,,100.0,4.0,0.05,,,,,,,,,,,,
48,Alberta,Alberta,2020-03-09,7,0,0.0,7,,,,,6,600.0,0.16,0.0,0.0,0.0,,,100.0,7.0,0.16,,,,,,,,,,,,
1,Canada,Canada,2020-03-09,77,0,1.0,77,,,,,15,24.19,0.2,0.0,0.0,1.3,,,98.7,76.0,0.2,,,,,,,,,,,,
59,British Columbia,Colombie-Britannique,2020-03-11,39,0,1.0,39,4373.0,,,862.0,0,0.0,0.77,0.02,0.0,2.56,4373.0,,97.44,38.0,0.75,,,,,,,,,,,,
48,Alberta,Alberta,2020-03-11,14,0,0.0,14,1969.0,,,450.0,0,0.0,0.32,0.0,0.0,0.0,1969.0,,100.0,14.0,0.32,,,,,,,,,,,,
47,Saskatchewan,Saskatchewan,2020-03-11,0,0,0.0,0,204.0,,,174.0,0,0.0,0.0,0.0,0.0,,204.0,,,,0.0,,,,,,,,,,,,
46,Manitoba,Manitoba,2020-03-11,0,0,0.0,0,352.0,,,257.0,0,0.0,0.0,0.0,0.0,,352.0,,,,0.0,,,,,,,,,,,,
35,Ontario,Ontario,2020-03-11,42,0,1.0,42,3394.0,,,233.0,8,23.53,0.29,0.01,1.0,2.38,3394.0,,97.62,41.0,0.28,,,,,,,,,,,,
24,Quebec,Québec,2020-03-11,7,0,0.0,7,556.0,,,66.0,3,75.0,0.08,0.0,0.0,0.0,556.0,,100.0,7.0,0.08,,,,,,,,,,,,
13,New Brunswick,Nouveau-Brunswick,2020-03-11,0,0,0.0,0,22.0,,,28.0,0,0.0,0.0,0.0,0.0,,22.0,,,,0.0,,,,,,,,,,,,
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-03-11,0,0,0.0,0,44.0,,,84.0,0,0.0,0.0,0.0,0.0,,44.0,,,,0.0,,,,,,,,,,,,
12,Nova Scotia,Nouvelle-Écosse,2020-03-11,0,0,0.0,0,103.0,,,106.0,0,0.0,0.0,0.0,0.0,,103.0,,,,0.0,,,,,,,,,,,,
11,Prince Edward Island,Île-du-Prince-Édouard,2020-03-11,0,0,0.0,0,6.0,,,38.0,0,0.0,0.0,0.0,0.0,,6.0,,,,0.0,,,,,,,,,,,,
61,Northwest Territories,Territoires du Nord-Ouest,2020-03-11,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
62,Nunavut,Nunavut,2020-03-11,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
60,Yukon,Yukon,2020-03-11,0,0,0.0,0,0.0,,,,0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,
99,Repatriated travellers,Voyageurs rapatriés,2020-03-11,1,0,0.0,1,29.0,,,,1,100.0,,,0.0,0.0,29.0,,100.0,1.0,,,,,,,,,,,,,
